date,category,amount,kind,memo
2026-06-30,주거·관리비,350000,fixed,
2026-06-30,통신,70000,fixed,
2026-06-30,보험료,180000,fixed,
2026-06-30,대출이자,160000,fixed,
2026-06-30,건강보험·연금,190000,fixed,직장가입 마지막 달
2026-06-30,식비,680000,variable,
2026-06-30,교통,140000,variable,
2026-06-30,생활용품,150000,variable,
2026-06-30,문화·여가,220000,variable,
2026-06-30,의료,60000,variable,
2026-06-30,구직활동,0,variable,
2026-07-31,주거·관리비,350000,fixed,
2026-07-31,통신,70000,fixed,
2026-07-31,보험료,180000,fixed,
2026-07-31,대출이자,160000,fixed,
2026-07-31,건강보험·연금,240000,fixed,지역가입 전환 첫 달
2026-07-31,식비,640000,variable,
2026-07-31,교통,110000,variable,
2026-07-31,생활용품,130000,variable,
2026-07-31,문화·여가,180000,variable,
2026-07-31,의료,90000,variable,
2026-07-31,구직활동,80000,variable,이력서 사진·자격증 응시료
2026-07-31,경조사,500000,irregular,결혼식 2건
2026-08-31,주거·관리비,350000,fixed,
2026-08-31,통신,70000,fixed,
2026-08-31,보험료,180000,fixed,
2026-08-31,대출이자,158000,fixed,
2026-08-31,건강보험·연금,240000,fixed,
2026-08-31,식비,610000,variable,
2026-08-31,교통,100000,variable,
2026-08-31,생활용품,120000,variable,
2026-08-31,문화·여가,150000,variable,
2026-08-31,의료,40000,variable,
2026-08-31,구직활동,120000,variable,직무교육 수강료
